abject|object	別語
absolute|absolve	別語
according|accordingly	同じ語
across|cross	接頭辞
action|auction	L
adverse|advertise	別語
ad|add	L
affable|amiable	別語
air|heir	L
ai|eye	まれ
ai|i	まれ
alter|later	L
altitude|latitude	L	altitude は空や山の「高度・標高」、latitude は地球の「緯度」（経度は longitude）
amble|gamble	別語
ample|maple	別語
ant|aunt	L
are|or	別語
are|our	別語
armed|harmed	別語
arrant|warrant	別語
arrow|harrow	別語
artifact|artifice	別語
atypical|typical	反対語
aunt|gaunt	別語
aunt|haunt	別語
authority|authorize	遠縁
aver|waver	別語
bandage|bondage	別語
banish|vanish	L	banish は人を「追放する」（他動詞）、vanish は物が「消える」（自動詞）
barn|born	L
barrier|barrister	別語
base|vase	L
batter|better	L
batter|bitter	L
batter|butter	L
bearable|unbearable	反対語
becoming|unbecoming	反対語
been|bin	別語
been|bun	別語
best|vest	L
be|bee	L
billion|trillion	別語
black|block	L
bland|blend	L
blink|brink	L
board|bored	L
bombard|bombast	別語
bough|bow	L
brash|brush	L
breach|broach	別語
buy|by	L
buy|bye	L
by|bye	L
call|cull	別語
capable|incapable	反対語
captivate|captive	遠縁
captivate|captivity	遠縁
cart|chart	別語
case|chase	別語
celebrate|celebrity	遠縁
cellar|collar	L
cellar|seller	L	cellar は「地下室」、seller は sell（売る）＋ -er で「売り手」。発音は同じ
certify|testify	別語
cite|sight	L	cite は「引用する」、sight は「視力・光景」。同じ発音の site（用地）もある
class|crass	別語
close|clothes	L
closing|clothing	L
clot|cloth	L
colleague|college	L	colleague は「同僚」、college は「大学」。colleague は league（連盟）と同じつづりを含む
collect|college	別語
collide|collude	L	collide は物や意見が「ぶつかる」、collude は人が裏で「共謀する」
comfortable|uncomfortable	反対語
command|commend	L	command は「命令する・指揮する」、commend は「称賛する・推薦する」
commence|commend	別語
commence|comment	別語
compact|company	別語
compact|compare	別語
compact|compass	別語
company|compare	別語
company|compass	別語
comparable|incomparable	反対語
compare|compass	別語
compatible|incompatible	反対語
complacent|complaint	別語
complaint|complaisant	別語
complete|complex	別語
compliant|compliment	別語
complicate|complicity	別語
comport|compose	別語
composed|compound	別語
compose|comprise	L	A comprise B は「A は B から成る」で全体が主語。compose は B compose A「B が A を構成する」、A is composed of B「A は B から成る」の形で使う
compress|comprise	別語
comprise|compromise	別語
conceal|concede	別語
conceal|conceit	別語
conceal|concept	別語
conceal|concern	別語
conceal|concert	別語
concede|conceit	別語
concede|conceive	別語
concede|concept	別語
concede|concern	別語
concede|concert	別語
conceit|conceive	別語
conceit|concern	別語
concept|concern	別語
conciliation|reconciliation	接頭辞
confide|confined	別語
confide|confirm	別語
confine|confirm	別語
conscious|unconscious	反対語
consign|consist	別語
consistent|inconsistent	反対語
constant|constraint	別語
constraint|constrict	遠縁
constriction|construction	L
constriction|contraction	別語
constrict|construct	L	constrict は「締めつける・狭める」、construct は「建設する・組み立てる」
construct|construe	別語
consulate|consult	遠縁
consult|consume	別語
contact|contain	別語
contagion|contain	別語
contempt|content	別語
contempt|contest	別語
contempt|context	別語
contend|contented	別語
contend|contest	別語
contend|context	別語
contract|contradict	別語
contract|contrary	別語
contrary|contrast	別語
contribute|contrite	別語
contrite|contrived	別語
convection|conviction	L	convection は熱が回る「対流」、conviction は「確信」と「有罪判決」
convene|converge	L	convene は会議や人を「召集する」、converge は線・人・意見が一点に「集まる・収束する」
convene|converse	別語
convene|convert	別語
converge|convert	別語
converse|convert	別語
convincing|unconvincing	反対語
counter|country	別語
crass|cross	別語
cue|queue	L
damp|dump	L
dam|damn	L
decade|decode	別語
decide|decode	別語
defer|differ	L	defer は「延期する」「(defer to で)従う」で後ろを強く読む、differ は「異なる」で前を強く読む
demur|demure	まれ
depart|deport	L	depart は「出発する・離れる」、deport は国が人を「国外退去させる」
destruction|distraction	L
dilate|dilute	L	dilate は目や血管を「広げる」、dilute は液体を「薄める」
dilation|dilution	L
disable|disabuse	別語
discard|discord	L
disciple|discipline	遠縁
discourage|discourse	別語
disguise|disgust	別語
disinformation|misinformation	L	disinformation はだますために意図して流す「偽情報」、misinformation は意図に関係なく広まった「誤った情報」
dispense|dispersed	別語
dispirited|spirited	反対語
