lush|rush	L
manner|manor	L
mansion|mention	L
mass|mess	L
master|muster	L
mast|must	L
math|moth	L
matter|mutter	L
meddle|muddle	L
mere|merge	L
middle|muddle	L
missile|missing	別語
missile|mission	別語
missing|mission	別語
nation|notion	L
nominal|nominate	遠縁
nominal|nominee	遠縁
nuclear|unclear	L
oppression|repression	L	oppress は権力が人を「虐げる」、repress は感情や動きを「抑え込む」、suppress は情報・反乱などを「封じる」
oppression|suppression	L	oppress は権力が人を「虐げる」、repress は感情や動きを「抑え込む」、suppress は情報・反乱などを「封じる」
oppress|repress	L	oppress は権力が人を「虐げる」、repress は感情や動きを「抑え込む」、suppress は情報・反乱などを「封じる」
oppress|suppress	L	oppress は権力が人を「虐げる」、repress は感情や動きを「抑え込む」、suppress は情報・反乱などを「封じる」
optimism|optimize	遠縁
optimist|optimize	遠縁
or|ore	別語
overseas|oversee	L	overseas は「海外に・海外の」、oversee は仕事や人を「監督する」
overseas|overseer	L
packed|pact	L
packet|pocket	L
pain|pane	L
parity|purity	L
park|pork	L
partial|particle	L
partial|partisan	別語
partly|portly	まれ
passable|possible	L
passion|passive	別語
past|paste	L
past|pest	L
patent|potent	L
pension|pensive	別語
pester|poster	別語
physical|physician	遠縁
pithy|pity	まれ
plan|plank	別語
pole|poll	L
popular|populate	遠縁
position|positive	別語
precede|precept	別語
premise|premium	別語
presence|preserve	別語
prim|prime	まれ
prospect|prosper	別語
protect|protein	別語
protein|protest	別語
provide|province	別語
quit|quite	L	quit は「やめる」（動詞）、quite は「かなり・まったく」（副詞）。e があるかないかで品詞も意味も変わる
racket|rocket	L
rack|rock	L
ragged|rugged	L
rapture|rupture	L
rash|rush	L
read|red	L	過去形・過去分詞の read は red と同じ発音になる
recant|recent	まれ
regular|regulate	遠縁
regular|regulator	遠縁
resolution|solution	L	solution は問題の「解決策」や「溶液」、resolution は会議の「決議」や心の「決意」
restock|restore	別語
restraint|restrict	遠縁
ride|ridge	L
right|rite	L
rite|write	L
ruby|rugby	L
sack|sock	L
sack|suck	L
sake|shake	別語
same|shame	L
sanctify|sanction	遠縁
sanctimony|sanction	遠縁
sand|send	L
seat|sweat	L
secrecy|secrete	遠縁
secrete|secretly	遠縁
secret|secrete	L	secret は「秘密（の）」、secrete は体が汗やホルモンを「分泌する」
seep|sheep	L
seep|sweep	L
self|shelf	L
sell|swell	L
serve|swerve	L
several|severely	L
sew|so	L
shock|sock	L
shore|sore	L
short|sort	L
simmer|summer	L
sing|swing	L
skilled|unskilled	反対語
slot|sloth	L
sock|socks	変化形
sock|suck	L
solicitor|solicitous	遠縁
some|sum	L
so|sow	L
spacious|specious	L
span|spawn	L
special|species	L
special|specify	別語
species|specify	別語
species|specimen	別語
species|specious	別語
spin|spine	L
spit|spite	L
stack|stalk	L
stack|stock	L
stake|steak	L
stamp|stump	L
star|stark	L
steep|step	L
sticky|stocky	L
stoop|stop	L
strike|stroke	L
string|strong	L
strip|stripe	L
subside|subsidize	別語
subside|subsist	別語
subsidy|subsist	別語
succeed|success	同じ語
success|successor	同じ語
suit|suite	L	suit は「スーツ・服一そろい」（/ˈsut/）、suite はホテルの「スイートルーム」や家具の一そろい（/ˈswit/）
superior|supervisor	別語
supple|supply	L
support|suppose	L
sure|surge	別語
suspect|suspend	別語
suspend|suspense	遠縁
syllable|syllabus	L
tall|toll	L
task|tusk	L
telegram|telegraph	遠縁
temperate|temperature	L	temperate は気候が「温暖な」・態度が「節度ある」、temperature は「温度・気温」
tenable|untenable	反対語
tend|trend	L
than|thank	別語
them|theme	L
thin|thing	L
thin|think	L
thirteenth|thirtieth	L	thirteenth は13番目、thirtieth は30番目。teen（13〜19）と ty（20・30…）の違い
thirteen|thirteenth	同じ語
threat|throat	L
thrust|trust	L
toe|tow	L
too|two	L
to|too	L
to|two	L
transfer|transform	L	transfer は場所や持ち主を「移す・乗り換える」、transform は形や性質を「一変させる」
transient|transit	遠縁
unarmed|unharmed	L	unarmed は「武器を持たない」、unharmed は「けがをしていない」
underlie|underling	別語
underlie|undermine	別語
unify|unity	遠縁
valuable|voluble	まれ
vast|vest	L
wall|will	L
warship|worship	L
way|weigh	L
when|win	別語
wholesale|wholesome	L
