chance|change	L
change|charge	L	change は「変える・つり銭」、charge は「請求する・充電する・責任」
cheek|cheer	L
clarification|classification	L
clarify|classify	L	clarify は話や考えを「はっきりさせる」、classify は物を種類ごとに「分類する」
clean|clear	L	clean は汚れがない「清潔な」、clear は見通しや意味が「はっきりした」
close|lose	L	close は「閉じる・近い」、lose は「失う・負ける」。loose（ゆるい）とも混同しやすい
cold|could	L
collect|correct	L	collect は「集める」、correct は「正しい・訂正する」
collection|correction	L
comparable|compatible	L	comparable は「比べられる・同等の」、compatible は「相性がよい・互換性のある」
competition|composition	L
compete|complete	L	compete は「競争する」、complete は「完成させる・完全な」
center|enter	L
chain|chair	L
chief|thief	L
commodity|community	L
capacity|incapacity	反対語
certainty|uncertainty	反対語
certain|uncertain	反対語
coherence|incoherence	反対語
competence|incompetence	反対語
competent|incompetent	反対語
complete|incomplete	反対語
committed|uncommitted	反対語
concerned|unconcerned	反対語
capitulate|recapitulate	接頭辞
commend|recommend	接頭辞
collect|recollect	接頭辞
collection|recollection	接頭辞
compose|decompose	接頭辞
close|closet	遠縁
complexity|complicity	まれ
