death|depth	L
decay|delay	L
deceive|receive	L	-ceive の仲間は頭で見分ける。deceive は「だます」、receive は「受け取る」、perceive は「知覚する」、conceive は「思いつく」
deceive|perceive	L	-ceive の仲間は頭で見分ける。deceive は「だます」、receive は「受け取る」、perceive は「知覚する」、conceive は「思いつく」
decent|recent	L	decent は「きちんとした・まともな」、recent は「最近の」
deck|desk	L
decline|incline	L	decline は「減少する・断る」、incline は「傾ける・傾く」
deduce|reduce	L	deduce は手がかりから「推論する」、reduce は量を「減らす」
deduction|reduction	L
defeat|defect	L
defect|detect	L
defective|detective	L
defective|effective	L	defective は「欠陥のある」、effective は「効果的な」
defend|depend	L	defend は「守る」、depend は depend on 〜で「頼る・次第である」
defendant|dependent	L
defense|offense	L	defense は「防御・守備」、offense は「攻撃」や規則の「違反」
defensive|offensive	L	defensive は「守りの」、offensive は「攻撃的な・不快な」
deference|difference	L
defer|refer	L	defer は「延期する」、refer は refer to 〜で「言及する・参照する」
defer|deter	L
deficiency|efficiency	L	deficiency は必要な量に足りない「不足」、efficiency は無駄のなさを表す「効率」
deficient|efficient	L
definite|infinite	L
deflate|inflate	L	deflate は空気を抜いて「しぼませる」、inflate は空気を入れて「膨らませる」
deflation|inflation	L	deflation は物価が下がる「デフレ」、inflation は物価が上がる「インフレ」
deflect|reflect	L
deform|reform	L	deform は形を「ゆがめる」、reform は制度などを「改革する」
defy|deny	L	defy は権威に「反抗する」、deny は事実を「否定する」
delay|relay	L
delusion|illusion	L	delusion は事実と違うことを信じ込む「思い違い」、illusion は目や心が受ける「錯覚」
deployment|employment	L
deprive|derive	L	deprive は deprive A of B で「A から B を奪う」、derive は derive from 〜で「〜に由来する」
descent|dessert	L	descent は「下降・家系」、dessert は食後の「デザート」、desert は「砂漠・見捨てる」
describe|prescribe	L	describe は「描写する・説明する」、prescribe は薬を「処方する」
design|resign	L
desk|dusk	L
desperate|disparate	L
despise|despite	L	despise は「軽蔑する」（動詞）、despite は「〜にもかかわらず」（前置詞）
despite|dispute	L
destruction|instruction	L
detain|retain	L	detain は人を「引き留める・拘束する」、retain は物や性質を「保ち続ける」
devil|evil	L
devise|revise	L	devise は新しく「考案する」、revise は書いたものを「改訂する」
discuss|disgust	L
decency|indecency	反対語
decisive|indecisive	反対語
decreased|increased	反対語
decrease|increase	反対語
definitely|indefinitely	反対語
dependence|independence	反対語
dependent|independent	反対語
difference|indifference	反対語
different|indifferent	反対語
discreet|indiscreet	反対語
discriminate|indiscriminate	反対語
demilitarized|militarized	反対語
demilitarize|militarize	反対語
demobilize|mobilize	反対語
destabilize|stabilize	反対語
degrade|upgrade	反対語
degenerate|generate	接頭辞
dearth|death	まれ
deference|reverence	まれ
deign|design	まれ
deign|feign	まれ
deign|reign	まれ
