historical|hysterical	L
hobby|lobby	L
honey|money	L
horse|house	L
hostage|hostile	L	hostage は「人質」、hostile は「敵意のある」
humanity|humidity	L
humidity|humility	L	humidity は空気の「湿度」、humility は「謙虚さ」
humor|rumor	L
hunger|hunter	L
idea|ideal	L
imitate|irritate	L	imitate は「まねる」、irritate は「いらいらさせる」
immense|intense	L	immense は大きさが「巨大な」、intense は程度が「強烈な」
immigrant|migrant	L
immigration|migration	L
immoral|immortal	L	immoral は「不道徳な」、immortal は「不滅の」
incite|invite	L
inferior|interior	L
inhabit|inherit	L	inhabit は場所に「住む」、inherit は財産や性質を「受け継ぐ」
inherit|inhibit	L	inherit は「受け継ぐ」、inhibit は「抑制する」
instinct|instruct	L
into|onto	L
intuition|tuition	L	intuition は「直感」、tuition は「授業料」や「指導」
inventor|inventory	L	inventor は「発明者」、inventory は「在庫（表）」
iron|irony	L
irrigate|irritate	L	irrigate は畑に水を引く「灌漑する」、irritate は「いらいらさせる」
irrigation|irritation	L
issue|tissue	L
hospitable|inhospitable	反対語
imaginative|unimaginative	反対語
impatience|patience	反対語
impatient|patient	反対語
imperceptible|perceptible	反対語
impertinent|pertinent	反対語
implausible|plausible	反対語
impossible|possible	反対語
improbable|probable	反対語
imprudent|prudent	反対語
insensitive|sensitive	反対語
insignificance|significance	反対語
insignificant|significant	反対語
instability|stability	反対語
insubordinate|subordinate	反対語
insubordination|subordination	反対語
insufficiency|sufficiency	反対語
insufficiently|sufficiently	反対語
insufficient|sufficient	反対語
intangible|tangible	反対語
intolerable|tolerable	反対語
intolerance|tolerance	反対語
intolerant|tolerant	反対語
intractable|tractable	反対語
invalidate|validate	反対語
invisible|visible	反対語
irrational|rational	反対語
irregularly|regularly	反対語
irregular|regular	反対語
irrelevant|relevant	反対語
irreverent|reverent	反対語
injustice|justice	反対語
illiteracy|literacy	反対語
illiterate|literate	反対語
illogical|logical	反対語
immobility|mobility	反対語
immortality|mortality	反対語
impartial|partial	反対語
impassable|passable	反対語
impeccable|implacable	まれ
imperial|imperil	まれ
imperious|impervious	まれ
imperious|impetuous	まれ
imperious|impious	まれ
incipient|recipient	まれ
incubate|inculcate	まれ
incubate|inoculate	まれ
inculcate|inoculate	まれ
indomitable|inimitable	まれ
inept|inert	まれ
inevitable|inimitable	まれ
inimical|initial	まれ
iniquity|inquiry	まれ
inmate|innate	まれ
insidious|invidious	まれ
irate|pirate	まれ
irate|rate	まれ
jocular|popular	まれ
jocular|secular	まれ
