leather|weather	L
leisure|pleasure	L
leisure|measure	L
liberal|literal	L	liberal は「気前のよい・自由主義の」、literal は「文字どおりの」
liberally|literally	L
liberate|literate	L
library|literary	L	library は「図書館」、literary は「文学の」
likely|lively	L
location|vacation	L
lonely|lovely	L	lonely は「孤独な」、lovely は「すてきな・愛らしい」
major|mayor	L	major は「主要な・専攻する」、mayor は「市長」
maternal|paternal	L	maternal は「母親の」、paternal は「父親の」
mature|nature	L
mitigate|motivate	L	mitigate は被害や苦しみを「和らげる」、motivate は人を「やる気にさせる」
mitigation|motivation	L
limited|unlimited	反対語
matched|unmatched	反対語
majority|minority	反対語
maximize|minimize	反対語
maximum|minimum	反対語
lamely|lately	まれ
lamely|namely	まれ
laudatory|mandatory	まれ
laud|loud	まれ
mettle|nettle	まれ
mettle|settle	まれ
miscreant|mistreat	まれ
