praise|raise	L	praise は「ほめる」、raise は「上げる・育てる」
prefer|refer	L
preference|reference	L	preference は「好み」、reference は「言及・参照」
present|president	L
present|represent	L
preservation|reservation	L
preserve|reserve	L	preserve は状態を「保存する」、reserve は席や部屋を「予約する」
president|resident	L	president は「大統領・社長」、resident は「住民」
presume|resume	L	presume は「推定する」、resume は中断したことを「再開する」
pretend|prevent	L	pretend は「ふりをする」、prevent は「防ぐ」
preview|review	L	preview は前もって見る「予告・試写」、review は後から見直す「論評・復習」
price|prize	L
price|pride	L
process|progress	L	process は物事の「過程・手順」、progress は前へ進む「進歩」
propose|purpose	L
protect|protest	L	protect は「守る」、protest は「抗議する」
qualify|quality	L
qualitative|quantitative	L	qualitative は中身を見る「質的な」、quantitative は数を見る「量的な」
quality|quantity	L	quality は「質」、quantity は「量」
quarrel|quarter	L
quickly|quietly	L
radio|ratio	L
reach|react	L
recent|resent	L	recent は「最近の」、resent は「腹を立てる」
reception|recession	L	reception は「受付・歓迎会」、recession は景気の「後退・不況」
reckless|restless	L	reckless は「無謀な」、restless は「落ち着かない」
recklessness|restlessness	L
referee|refugee	L	referee は試合の「審判」、refugee は「難民」
refrain|restrain	L	refrain は refrain from 〜 で自分から「差し控える」、restrain は人や感情を「抑える」
refuge|refuse	L
refuse|refute	L	refuse は「断る」、refute は主張を「論破する」
regard|reward	L
rely|reply	L
remain|retain	L	remain は「残る・〜のままである」（自動詞）、retain は「保ち続ける」（他動詞）
remote|remove	L
repeal|repeat	L
repeal|reveal	L
resolution|revolution	L
resolve|revolve	L
respect|suspect	L
revenge|revenue	L
revise|revive	L
popular|unpopular	反対語
predictable|unpredictable	反対語
productive|unproductive	反対語
reasonable|unreasonable	反対語
reasonably|unreasonably	反対語
repentant|unrepentant	反対語
produce|reproduce	接頭辞
production|reproduction	接頭辞
rapid|vapid	まれ
rapport|support	まれ
rickety|trickery	まれ
