X	mean	by means of	means（手段）は mean（意味する）の変化形ではなく別の語で、means のカードに出る
X	mean	by all means	means（手段）は mean（意味する）の変化形ではなく別の語で、means のカードに出る
X	mean	by no means	means（手段）は mean（意味する）の変化形ではなく別の語で、means のカードに出る
X	mean	a means of	means（手段）は mean（意味する）の変化形ではなく別の語で、means のカードに出る
X	bee	come into being	being は bee（ハチ）の変化形ではなく be の -ing 形
X	bee	for the time being	being は bee（ハチ）の変化形ではなく be の -ing 形
X	even	in the evening	evening（夕方）は even の変化形ではない別の語
X	fee	feed on	feed（食べさせる）は fee（料金）の変化形ではない別の語
X	verse	be versed in	versed（精通した）は verse（韻文）の変化形ではない別の語
M	wind	wind up	wind_2
M	counter	run counter to	counter_2
M	host	a host of	host_2
