air	airy	形	風通しのよい・軽やかな
america	American	形	アメリカの・アメリカ人
black	blacken	動	黒くする・汚す
boy	boyish	形	少年らしい・少年のような
brazil	Brazilian	形	ブラジルの・ブラジル人
butter	buttery	形	バターのような・バターを多く含む
call	caller	名	電話をかけてきた人・訪問者
canada	Canadian	形	カナダの・カナダ人
child	childish	形	子どもっぽい・幼稚な
child	childlike	形	子どものように純真な
china	Chinese	形	中国の・中国語
clean	cleaner	名	掃除機・清掃員
clean	cleanliness	名	清潔さ・きれい好き
close	closely	副	密接に・注意深く	形容詞 close（近い）から
close	closure	名	閉鎖・終結
deep	deepen	動	深める・深まる
east	eastern	形	東の・東洋の
end	endless	形	果てしない・無限の
face	facial	形	顔の・顔面の
favorite	favor	名	好意・親切
fresh	freshen	動	新鮮にする・さっぱりさせる
hair	hairy	形	毛深い
half	halve	動	半分にする・半減させる
U	afraid	scared	afraid は名詞の前に置かない（I'm afraid of dogs.）。scared は a scared child のように名詞の前にも置ける
U	afraid	frightened	afraid は名詞の前に置かない。frightened は a frightened child のように名詞の前にも置け、「(何かに)おびえた」という一時の様子を言う
U	bad	poor	「下手な」は bad at と poor at のどちらも言うが、poor の中心は「貧しい・乏しい」、bad の中心は「悪い」
U	beautiful	lovely	beautiful は見た目や作品の美しさ。lovely は「すてきな・かわいらしい」と親しみや好ましさをこめる
U	beautiful	gorgeous	gorgeous は「とても美しい・華やかな」と強く、話し言葉でよく使う
U	childish	childlike	childish は「子どもっぽい・幼稚な」と悪い意味、childlike は「子どものように純真な」とよい意味
U	class	lesson	class は授業の時間やクラス（集団）。lesson は1回ごとの授業・習い事の1回分、また「教訓」
U	classic	classical	classic は「名作の・典型的な」（a classic example）。classical は「古典の（古代ギリシャ・ローマ）・クラシック音楽の」
U	clean	neat	clean は「汚れがない」。neat は「きちんと整っている」（散らかっていない）
U	cold	chilly	chilly は「肌寒い」で、cold より寒さが弱い
U	different	various	different は「違う」。various は「さまざまな」で、種類が多いことを言い、複数形の名詞の前に置く
U	difficult	hard	hard は話し言葉でよく使い、「硬い・熱心な」の意味もある。difficult は少し改まった「難しい」
U	difficult	tough	tough は「骨が折れる・手ごわい」と、つらさや厳しさをこめる
U	easy	simple	easy は「たやすい（苦労しない）」。simple は「単純な・簡素な（込み入っていない）」
U	empty	vacant	empty は「中身がない」。vacant は「(席・部屋・職などが)空いている・使われていない」
U	end	finish	finish は「(作業などを)仕上げる」で finish doing と言う。end は「(出来事・期間を)終わらせる・終わる」
U	finish	complete	complete は「欠けているところなく仕上げる」（complete the form・complete a course）
U	good	nice	good は「よい・上手な」と質を言う。nice は「感じのよい・すてきな」と好ましさを言う
