C	cook	cooker	調理器具・コンロ（料理人は cook）
cover	coverage	名	報道・適用範囲
die	dying	形	死にかけている・消えかけた
draw	drawing	名	絵・線画・製図
european	Europe	名	ヨーロッパ
fear	fearless	形	恐れを知らない
fire	fiery	形	火のような・激しい
foreign	foreigner	名	外国人
gas	gaseous	形	気体の・ガス状の
giant	gigantic	形	巨大な
happen	happening	名	出来事
hate	hatred	名	憎しみ・嫌悪
heart	hearty	形	心からの・たっぷりの
heart	heartless	形	薄情な・冷酷な
hope	hopeless	形	絶望的な・見込みのない
keep	keeper	名	番人・管理人・ゴールキーパー
kill	killer	名	殺人者・命を奪うもの
laugh	laughter	名	笑い・笑い声
lead	leadership	名	指導力・指導者の地位
line	linear	形	直線の・直線的な
alone	lonely	形	孤独な・寂しい	alone（ひとりで）から、ひとりでいることを悲しく思う→「寂しい」
medicine	medical	形	医学の・医療の
U	comfortable	cozy	cozy は「(小さく暖かくて)居心地のよい・くつろげる」
U	contest	competition	contest は審査や投票で競う「コンテスト」。competition は「競争・競技会」と広く言う
U	correct	accurate	accurate は「(数値・情報・測定が)正確な・精密な」。correct は「(答えが)正しい」
U	country	nation	country は国土も含めた「国」。nation は国民の集まりとしての「国家」
U	elder	elderly	elder は「(家族の中で)年上の」（my elder brother）。elderly は「年配の・高齢の」で old の丁寧な言い方
U	error	mistake	mistake は日常の「間違い」。error は改まった語で「(計算・機械・判断の)誤り」
U	excited	exciting	excited は人が「わくわくした」。exciting は物事が「わくわくさせる」
U	expensive	costly	costly は「費用がかかる」のほか「犠牲の大きい」（a costly mistake）
U	happen	occur	occur は改まった語で「(事故などが)起こる」「(考えが)浮かぶ」（occur to 人）
U	historic	historical	historic は「歴史的に重要な」（a historic event）。historical は「歴史の・歴史上の」（historical records）
U	imaginary	imaginative	imaginary は「想像上の・架空の」。imaginative は「想像力豊かな」
U	lonely	alone	alone は「ひとりで」と事実を言う。lonely は「寂しい」と気持ちを言う
S	will	willful	willful は名詞の will（意志）から来た語で、助動詞の will の形ではない（willing の形として載せた）
