necessary	necessity	名	必要性・必需品
note	notable	形	注目すべき・著名な
practice	practical	形	実際的な・実用的な
price	priceless	形	非常に貴重な	price（値段）から、値段がつけられないほど→「非常に貴重な」
prison	imprison	動	投獄する・閉じ込める
promise	promising	形	有望な・見込みのある	promise（約束する）から、将来のよさを約束している→「有望な」
quality	qualitative	形	質的な・性質に基づく
quantity	quantitative	形	量的な・数量に基づく
reward	rewarding	形	やりがいのある・報われる
rust	rusty	形	さびた・腕がなまった
self	selfless	形	無私の・献身的な
shine	shiny	形	光る・ぴかぴかの
smoke	smoky	形	煙の多い・煙たい
society	social	形	社会の・社交的な
sticky	stick	動	くっつく・貼る
technology	technical	形	技術的な・専門的な
U	neat	tidy	tidy は「(部屋・物が)片付いた」。neat は「きちんとした・こぎれいな」で、見た目や字の整い方にも使う
U	overseas	abroad	abroad は副詞だけ（go abroad）。overseas は副詞にも形容詞にもなる（overseas students）
U	peaceful	peaceable	peaceful は「平和な・穏やかな」。peaceable は「争いを好まない・温和な」と人の性質を言う
U	respectful	respectable	respectful は「(人に)敬意を払う・礼儀正しい」。respectable は「(社会的に)立派な・まともな」
U	satisfied	satisfactory	satisfied は人が「満足した」。satisfactory は物事が「満足のいく・申し分のない」
U	ashamed	shameful	ashamed は人が「恥じて」（be ashamed of）。shameful は物事が「恥ずべき・不名誉な」
U	systematic	systemic	systematic は「体系的な・計画的な」。systemic は「(組織・体の)全体に及ぶ」
U	technical	technological	technical は「技術的な・専門的な」（technical terms）。technological は「科学技術の」
