early	earlier	形	前の・より早い
late	later	形	のちの・あとの・後で
late	latest	形	最新の・最も遅い
late	lately	副	最近・近ごろ
help	helpless	形	無力な・どうしようもない
live	lively	形	活発な・生き生きした	life（生命）＋-ly の形容詞（副詞ではない）。生命にあふれた→「活発な・生き生きした」
cash	cashless	形	現金を使わない・キャッシュレスの
hard	hardship	名	苦難
active	activist	名	活動家
harm	harmless	形	無害な・害のない
rest	restless	形	落ち着かない・そわそわした
outside	outsider	名	部外者・外部の人
public	publish	動	出版する・公表する	public（公の）にする→「出版する・公表する」
U	late	lately	late は「遅く」。lately は「最近・近ごろ」で、late（遅く）の意味ではない
U	alive	lively	alive は「生きている」（名詞の前には置かない）。lively は「活発な・生き生きした」（-ly でも形容詞）
U	alive	living	alive は名詞の前には置かない（The fish is alive）。living は名詞の前にも置ける（living things）
