ancestor	ancestry	名	祖先・家系
N	ancestor	ancestry	人物
deficient	deficit	名	赤字・不足
U	deficiency	deficit	deficiency は必要な量に足りない「不足・欠乏」、deficit は収入と支出の差である「赤字」
electric	electrify	動	熱狂させる・電化する
N	electric	electrified	別意
N	electrical	electrified	別意
hypocrisy	hypocrite	名	偽善者
N	hypocrisy	hypocrite	人物
incidence	incident	名	出来事・事件
U	incidence	incident	incidence は病気や問題が起きる割合を表す「発生率」、incident は1つ1つの「出来事・事件」
intolerable	intolerance	名	不寛容・耐えられないこと
U	intolerable	intolerant	intolerable は物事が「耐えがたい」、intolerant は人が考えのちがいを認めない「不寛容な」
irritable	irritate	動	いらいらさせる・刺激する
U	irritable	irritated	irritable は人がもともと「怒りっぽい」性質、irritated はそのときに「いらいらした」状態
U	irritable	irritating	irritable は人が「怒りっぽい」、irritating は物事が人を「いらいらさせる」
U	irritability	irritation	irritability は「怒りっぽさ」という性質、irritation は「いらだち」や皮膚の「炎症」
adventure	venture	名	冒険的事業・思い切ってする(動)
U	adventure	venture	adventure はわくわくする「冒険」、venture は危険を承知で始める「事業・試み」
N	adventurer	venture	人物
ascertain	certain	形	確かな・ある〜
await	wait	動	待つ
U	await	wait	wait は自動詞で wait for 〜 と使う。await は他動詞で目的語を直接とり、書き言葉で使う
