agent	agency	名	代理店・機関
U	agency	agent	agency は「代理店・(政府などの)機関」という組織。agent は「代理人・仲介者」という人
frighten	fright	名	(突然の)恐怖・ぎょっとすること
unite	union	名	結合・連合・組合
U	union	unity	union は国や団体が結びついた「連合・組合」（the European Union）。unity は心や考えがまとまった「団結・統一」
U	union	unit	unit は全体を形づくる1つの「単位・部隊」。union は複数のものが結びついた「連合・組合」
U	unionize	unite	unite は「結びつける・団結する」と広く言う。unionize は働く人を「労働組合に組織する」
critic	critique	名	批評・評論
U	critic	critique	critic は「批評家」という人。critique は作品や考えを詳しく論じた「批評・評論（文）」
U	criticism	critique	criticism は悪い点を指摘する「批判・非難」が中心。critique はよい点も悪い点も論じる「批評・評論」
long	longing	名	思慕・あこがれ	long の動詞「(long for で)切望する」に -ing がついて「切望・あこがれ」。「長い」の long から出た動詞
N	length	longing	別意
thief	theft	名	盗難・窃盗
U	theft	thief	thief は「泥棒」という人。theft は「盗み・窃盗」という行為（car theft＝自動車の盗難）
