baby	babyish	形	赤ちゃんじみた・幼稚な
bear	bearish	形	（相場が）弱気の・クマのような
bike	biker	名	オートバイ・自転車に乗る人
N	bike	biker	人物
blue	bluish	形	青みがかった・青っぽい
N	blue	bluish	程度
brown	brownish	形	茶色がかった
N	brown	brownish	程度
green	greenish	形	緑がかった
N	green	greenish	程度
pink	pinkish	形	ピンクがかった
N	pink	pinkish	程度
purple	purplish	形	紫がかった
N	purple	purplish	程度
white	whitish	形	白っぽい
N	white	whitish	程度
yellow	yellowish	形	黄色がかった
N	yellow	yellowish	程度
N	red	reddish	程度
cool	cooler	名	保冷箱・クーラーボックス・冷却器	日本語の「クーラー」（冷房）は英語では air conditioner と言う
do	doer	名	実行する人・行動派
dress	dresser	名	鏡台・たんす・（服を）着こなす人
N	dress	dresser	別意
eat	eatery	名	軽食堂・食べ物屋
feel	feeler	名	触角・（相手の考えを探る）打診
find	finder	名	見つけた人・（カメラの）ファインダー
game	gamer	名	（テレビゲームなどの）ゲームをする人
N	game	gamer	人物
girl	girlhood	名	少女時代
N	girl	girlhood	人物
girl	girlish	形	少女らしい・少女のような
goat	goatee	名	やぎひげ（あごの先だけのひげ）
N	goat	goatee	別意
head	header	名	ヘディング（サッカー）・（文書の）ヘッダー
N	head	header	別意
jump	jumper	名	跳ぶ人・（イギリス英語で）セーター	日本語の「ジャンパー」（上着）は英語では jacket と言う
late	lateness	名	遅れること・遅刻
left	leftist	名	左翼の人・左派
light	lightness	名	明るさ
man	manhood	名	成人男性であること・男らしさ
N	man	manhood	人物
right	rightist	名	右翼の人・右派
see	seer	名	予言者・先見の明のある人
ship	shipper	名	荷主・運送業者
N	ship	shipper	人物
sit	sitter	名	子守り・（肖像画の）モデル
sleep	sleeper	名	眠る人（a light sleeper＝眠りの浅い人）・寝台車
spell	speller	名	つづる人（a good speller＝つづりを正しく書ける人）
star	stardom	名	スターの地位
N	star	stardom	人物
talk	talker	名	話す人・おしゃべりな人
tell	teller	名	（銀行の）窓口係・語り手
thin	thinner	名	シンナー（塗料を薄める液）	形容詞 thin の比較級 thinner（もっと薄い）と同じつづり
together	togetherness	名	一体感・仲のよさ
truck	trucker	名	トラック運転手
N	truck	trucker	人物
true	truism	名	わかりきったこと・自明の理
wash	washer	名	洗濯機・座金（ワッシャー）・洗う人
woman	womanhood	名	成人女性であること・女らしさ
N	woman	womanhood	人物
back	backer	名	後援者・支援者
bicycle	bicyclist	名	自転車に乗る人
N	bicycle	bicyclist	人物
break	breaker	名	ブレーカー（電気の遮断器）・砕け波・壊す人
care	carer	名	介護者（主にイギリス英語）
N	care	carer	人物
catch	catcher	名	捕手・キャッチャー・捕まえる人
cut	cutter	名	切る道具・カッター・小型の船
divide	divider	名	仕切り・分ける物
fill	filler	名	詰め物・（話の）つなぎの言葉
grade	grader	名	〜年生（a fifth grader＝5年生）・採点者
N	grade	grader	人物
N	gradation	grader	人物
hate	hater	名	憎む人・（ネットの）アンチ
hit	hitter	名	打者・（heavy hitter で）有力者
hobby	hobbyist	名	趣味を楽しむ人・愛好家
N	hobby	hobbyist	人物
knight	knighthood	名	ナイトの爵位・騎士の身分
N	knight	knighthood	人物
machine	machinist	名	機械工
N	machine	machinist	人物
N	machinery	machinist	人物
market	marketer	名	マーケティング担当者・販売業者
N	market	marketer	人物
move	mover	名	引っ越し業者・動かす人
national	nationalist	名	国家主義者・民族主義者
natural	naturalist	名	博物学者・自然主義者
rise	riser	名	起きる人（an early riser＝早起きの人）
save	saver	名	貯金する人・節約になるもの
score	scorer	名	得点した人・得点記録係
N	score	scorer	人物
spend	spender	名	お金を使う人（a big spender＝金づかいの荒い人）
start	starter	名	前菜・始動装置・先発選手
stop	stopper	名	栓・止める物
stream	streamer	名	（ネットの）配信者・吹き流し
