phrase	phrasal	形	句の（phrasal verb＝句動詞）		/ˈfɹeɪzəl/
plant	planter	名	プランター（植木鉢）・農園主
N	pole	polarization	別意
N	pole	polarity	別意
U	position	posture	position は「位置・立場」や体の向きとしての「姿勢」。posture は体の構え方としての「姿勢」や、物事への「態度」
N	empowerment	power	別意
N	power	powerlessness	反対
pray	prayer	名	祈り・祈りの言葉
president	presidency	名	大統領の職・任期
N	imprisonment	prison	別意
N	prison	prisoner	人物
N	producer	product	人物
U	product	production	product は「製品」（作られた物）。production は「生産・製作」（作ること）や「生産量」
N	product	productivity	別意
professional	professionalism	名	プロ意識・専門家らしさ
N	quantification	quantity	別意
N	receipt	receiver	人物
N	receipt	recipient	人物
U	receipt	reception	receipt は「領収書・受け取ること」。reception は「受付・歓迎会」や、受け入れられ方（評判）
recycle	recycling	名	リサイクル・再生利用
rent	rental	名	賃貸・レンタル料
rent	renter	名	借り手・賃借人
U	rent	rental	rent は「家賃・賃借料」。rental は「賃貸・レンタル（料）」で、車や道具を借りることにも使う
N	rent	renter	人物
N	rental	renter	人物
U	reply	replicate	reply は「返事する」。replicate は「複製する・（実験などを）再現する」
research	researcher	名	研究者
N	research	researcher	人物
rival	rivalry	名	対立・競合
N	rival	rivalry	人物
robot	robotics	名	ロボット工学
N	robot	robotics	別意
seed	seedling	名	苗・苗木
N	seed	seedling	別意
N	self	selfishness	別意
N	self	selflessness	別意
sew	sewing	名	裁縫・縫い物
shame	shameless	形	恥知らずな・ずうずうしい
N	seer	sight	人物
N	enslavement	slave	人物
N	slave	slavery	人物
slip	slipper	名	スリッパ・室内履き
slip	slippery	形	滑りやすい・つかみどころのない
smoke	smoker	名	喫煙者
smoke	smoking	名	喫煙・たばこを吸うこと
P	smoke	動	たばこを吸う・煙を出す
N	smoke	smoker	人物
N	smoke	smoking	別意
social	socialism	名	社会主義
social	socialist	名	社会主義者
N	socialism	society	別意
N	socialist	society	人物
N	society	socialization	別意
N	solution	solvency	別意
P	spare	動	（時間などを）割く・（命を）助ける
spark	sparkle	動	きらめく・輝く
N	speaker	speech	人物
speech	speechless	形	（驚きなどで）言葉が出ない
speed	speeding	名	スピード違反
N	speed	speeding	別意
stain	stainless	形	さびない・ステンレスの（stainless steel）
steam	steamer	名	蒸し器・汽船
N	steam	steamer	別意
stick	sticker	名	ステッカー・シール
strike	striker	名	（サッカーの）ストライカー・スト参加者
tax	taxation	名	課税・税制
N	tax	taxation	別意
N	technician	technology	人物
U	technique	technology	technique は「技術・技法」（うまくやるやり方）。technology は「科学技術」
N	technicality	technology	別意
N	thinker	thought	人物
U	thinking	thought	thought は「考え・思考」（考えた中身）。thinking は「考えること・考え方」
N	thought	thoughtfulness	別意
thrill	thriller	名	スリラー（映画・小説）
N	entitlement	title	別意
tour	tourist	名	観光客・旅行者
tour	tourism	名	観光事業・観光
N	tour	tourist	人物
N	tour	tourism	別意
N	tourism	tourist	人物
treasure	treasurer	名	会計係・財務担当者
treasure	treasury	名	国庫・（the Treasury で）財務省
N	treasure	treasurer	人物
N	treasure	treasury	別意
U	unit	unity	unit は「単位・部隊・ひとまとまり」。unity は「統一・団結」
U	universe	university	universe は「宇宙・全世界」。university は「大学」で、つづりが似ているので注意
N	universality	universe	別意
N	visitation	visitor	人物
N	widening	width	別意
worth	worthless	形	価値のない・役に立たない
U	worth	worthless	worth は「〜の価値がある」（worth ＋ 名詞・-ing）。worthless は「価値のない・役に立たない」
wrap	wrapper	名	包み紙・包装
R	pie	pier	別語
R	pinch	pincher	まれ
R	pipe	piper	まれ
R	pity	pit	別語
R	plain	plainer	変化
R	plane	planer	まれ
R	plot	plotter	まれ
R	pole	polity	別語
R	pole	polish	別語
R	pole_2	polity	別語
R	pole_2	polish	別語
R	pork	porker	まれ
R	positive	positivism	まれ
R	pretend	pretender	まれ
R	price	pricer	まれ
R	price	pricor	非語
R	priest	priester	非語
R	priest	priesthood	まれ
R	priest	priestess	まれ
R	public	publicist	まれ
R	pure	purer	変化
R	pure	purist	まれ
R	pure	purdom	非語
R	pure	puree	遠縁
R	purse	purser	まれ
R	puzzle	puzzler	まれ
R	recycle	recycler	非語
R	remove	remover	まれ
R	respond	responder	まれ
R	rest_2	rester	非語
R	rest_2	restless	同音
R	root	rooter	まれ
R	rude	ruder	変化
R	rug	ruger	非語
R	rust	rustic	別語
R	rusty	rustier	変化
R	saint	sainthood	まれ
