senator	senate	名	上院・（古代ローマの）元老院
N	senate	senator	人物
sense	sensation	名	感覚・大評判
U	sensation	sense	sense は「感覚・意識・分別」。sensation は「（体で感じる）感覚」や「大評判・センセーション」
N	sensation	sensitivity	別意
N	sensation	sensor	別意
N	sensation	sensibility	別意
N	sense	sensitivity	別意
N	sense	sensor	別意
U	sense	sensibility	sense は「感覚・分別」。sensibility は「感受性・（芸術などへの）感性」
N	sensible	sensory	別意
N	sensible	sensual	別意
N	sensitive	sensory	別意
N	sensitive	sensual	別意
U	sensory	sensual	sensory は「感覚の」（五感に関する）。sensual は「官能的な・肉体的な」
U	sensibility	sensitivity	sensitivity は「敏感さ・感受性」（刺激や人の気持ちに反応しやすいこと）。sensibility は「感性・（芸術的な）感受性」で、かたい言い方
N	sensitivity	sensor	別意
N	sensibility	sensor	別意
P	separate	形	別々の・離れた
N	servant	server	人物
N	servant	service	人物
N	server	service	人物
service	servicing	名	点検・整備
N	service	servicing	別意
N	servant	servicing	人物
N	server	servicing	人物
N	shaken	shaky	別意
shoot	shooter	名	銃撃犯・射手・シューター
N	shortage	shortness	別意
shut	shutter	名	シャッター・雨戸
sin	sinner	名	罪人・罪深い人
N	sin	sinner	人物
N	enslavement	slavery	別意
sneak	sneaker	名	スニーカー・運動靴（ふつう sneakers）
U	social	societal	social は「社会の・社交的な」。societal は「社会全体の」（社会のしくみに関する、かたい語）
U	spacious	spatial	spacious は「広々とした」。spatial は「空間の・空間的な」（spatial awareness＝空間認識）
spoil	spoiler	名	ネタばれ（話の結末などを先に明かすこと）・（車の）スポイラー
sprint	sprinter	名	短距離走者
N	stability	stabilization	別意
N	standard	standardization	別意
U	stimulant	stimulus	stimulus は「刺激（となるもの）・励み」。stimulant は「興奮剤・刺激物」（カフェインなど）
N	stimulation	stimulus	別意
stretch	stretcher	名	担架
style	stylist	名	スタイリスト・美容師
N	style	stylist	人物
N	substance	substantiation	別意
suffer	sufferer	名	（病気などに）苦しむ人・患者
U	sum	summary	sum は「合計・総額」。summary は「要約・まとめ」
surf	surfer	名	サーファー
surf	surfing	名	サーフィン・（ネットを）見て回ること
surgery	surgeon	名	外科医
N	surgeon	surgery	人物
N	survival	survivor	人物
symbol	symbolism	名	象徴性・象徴主義
N	symbol	symbolism	別意
N	technician	technique	人物
N	technicality	technique	別意
N	tendency	tension	別意
U	terrific	terrified	terrified は「おびえた」。terrific は「すばらしい・ものすごい」で、もとは「恐ろしい」だった語
U	terrify	terrorize	terrify は「怖がらせる」。terrorize は「（暴力などで）恐怖に陥れる・脅す」
N	tidal	tidy	別意
tone	toner	名	トナー（印刷用の粉）・化粧水
N	tone	toner	別意
transform	transformer	名	変圧器・変身するもの
N	translation	translator	人物
troop	troops	名	兵士たち・兵力
U	troop	troops	troop は「（兵士や動物などの）一団・部隊」。複数形の troops は「兵士たち・兵力」
N	tutor	tutorial	人物
N	urge	urgency	別意
N	utility	utilization	別意
U	variation	variety	variety は「多様性・種類」（a variety of＝さまざまな）。variation は「変化・変動・変種」（同じものの中のちがい）
U	varied	various	various は「さまざまな」（名詞の前で使う）。varied は「変化に富んだ・多様な」（名詞の前でも be の後でも使う）
N	variant	varied	別意
N	variant	various	別意
N	vibrancy	vibration	別意
U	virtual	virtuous	virtual は「仮想の・事実上の」。virtuous は「徳の高い・高潔な」（virtue の形容詞）
weapon	weaponry	名	兵器・武器類
N	weapon	weaponry	別意
wholesale	wholesaler	名	卸売業者
N	wholesale	wholesaler	人物
U	willful	willing	willing は「進んで〜する・いとわない」。willful は「わがままな・故意の」（willful damage＝故意の損壊）
N	access	accessibility	別意
account	accountant	名	会計士
account	accounting	名	会計・経理
N	account	accountability	別意
N	account	accountant	人物
N	account	accounting	別意
N	accountability	accountant	人物
R	separate	separator	まれ
R	separate	separatist	まれ
R	separate	separatism	まれ
R	separate	separateness	まれ
R	service	servicer	まれ
R	several	sever	遠縁
R	severe	severer	変化
R	severity	sever	別語
R	shaky	shakier	変化
R	shallow	shallower	変化
R	shock	shocker	まれ
R	silence	silencer	まれ
R	sin	siner	非語
R	sin	sinor	非語
R	single	singler	非語
R	sink	sinker	まれ
R	skinny	skinnier	変化
R	slip_2	slipper	同音
R	slip_2	slippery	同音
R	smooth	smoother	変化
R	soak	soaker	まれ
R	sob	sober	別語
R	sole_2	soler	非語
R	solve	solver	まれ
R	sore	sorry	遠縁
R	spade_2	spader	非語
R	span	spanner	別語
R	span	spanish	非語
R	spice	spicer	非語
R	spill	spiller	まれ
R	spin	spinner	まれ
R	spiral	spire	別語
R	spiritual	spiritualist	まれ
R	spiritual	spiritualism	まれ
R	stable	stabler	変化
R	stable_2	stabler	同音
R	staff	staffer	まれ
R	stare	starer	まれ
R	stare	starship	別語
R	stare	stardom	別語
R	steep	steeper	変化
R	stimulate	stimulator	まれ
R	suitable	suite	遠縁
R	sum	summer	別語
R	supply	supple	別語
R	surgery	surge	別語
R	survey	surveyor	まれ
R	suspend	suspender	まれ
R	swan	swaner	非語
R	swan	swanner	非語
R	swan	swanee	非語
R	swift	swifter	変化
R	tart_2	tarter	非語
R	tart_2	tartness	同音
R	tease	teaser	まれ
R	tender	tend	別語
R	tense	tensor	まれ
R	tense_2	tensor	別語
R	tense_2	tension	同音
R	term	termer	非語
R	terminate	terminator	まれ
R	tight	tighter	変化
