council	councilor	名	（地方議会の）議員・評議員
N	council	councilor	人物
N	countable	countless	反対
N	courteous	courtly	別意
N	coward	cowardice	人物
credit	creditor	名	債権者・貸し手
N	credit	creditor	人物
custodian	custody	名	管理・保管・（子の）養育権
N	custodian	custody	人物
N	cynic	cynicism	人物
deal	dealer	名	販売業者・ディーラー・（トランプの）配り手
N	deal	dealer	人物
debt	debtor	名	債務者・借り手
N	debt	debtor	人物
U	deceit	deception	deceit は「だますこと・ずるさ」（人の不正直な行い）。deception は「ごまかし・だますしかけ」（だます行為や手口）
N	defenseless	defensive	別意
U	descendant	descent	descent は「下降・家系」（of Japanese descent＝日系の）。descendant は「子孫」（人）
N	detection	detector	別意
N	developer	development	人物
N	dictation	dictator	人物
N	dictation	dictatorship	別意
N	dictator	dictatorship	人物
dinner	diner	名	食事をする人・（アメリカの）簡易食堂
dinner	dine	動	食事をする・正餐をとる
U	diner	dinner	dinner は「夕食」。diner は「食事をする人」や「（アメリカの）簡易食堂」
dispense	dispenser	名	ディスペンサー・（飲み物などを出す）供給器
U	disposal	disposition	disposal は「処分・廃棄」。disposition は「気質・性格」や「配置」
N	domestic	domesticated	別意
U	dominance	domination	dominance は「優位・支配的な立場」（状態）。domination は「支配」（力で抑えつけること）
N	dominance	dominion	別意
N	dweller	dwelling	人物
U	economic	economical	economic は「経済の・経済学の」（economic growth＝経済成長）。economical は「節約になる・経済的な」（an economical car＝燃費のよい車）
N	economist	economy	人物
educate	educator	名	教育者
N	effect	effectiveness	別意
N	elevation	elevator	別意
N	emigrant	emigration	人物
N	employer	employment	人物
N	empress	imperialism	人物
entrepreneur	entrepreneurship	名	起業家精神・起業活動
N	entrepreneur	entrepreneurship	人物
escalate	escalator	名	エスカレーター	escalate は escalator（もとは商品名）から作られた語
N	examination	examiner	人物
N	expediency	expedition	別意
U	expenditure	expense	expense は「費用・出費」（ふつうの語）。expenditure は「支出・経費」（国や会社の支出の総額などを言うかたい語）
U	expense	expenses	expense は「費用」（at the expense of＝〜を犠牲にして）。複数形の expenses は「経費・（仕事で使った）費用」
N	expenditure	expenses	別意
N	exploration	explorer	人物
N	expressionless	expressive	反対
facilitate	facilitator	名	進行役・ファシリテーター
N	facilitation	facility	別意
U	falsehood	falsity	falsehood は「うそ・虚偽の話」（数えられる）。falsity は「誤っていること・虚偽性」（性質）
R	counsel	counsellor	別つづり
R	crane	craner	非語
R	crane	cranor	非語
R	crate	crater	別語
R	crater	crate	別語
R	crave	craver	まれ
R	crave	craven	別語
R	crush	crusher	まれ
R	crutch	crutcher	非語
R	cuff	cuffee	非語
R	cursor	curse	別語
R	debate	debater	まれ
R	debate	debator	非語
R	default	defaulter	まれ
R	deflect	deflector	まれ
R	den	denner	非語
R	den	deny	別語
R	dent	dentist	別語
R	deny	den	別語
R	deposit	depositor	まれ
R	detain	detainee	まれ
R	determine	determinist	まれ
R	determine	determinism	まれ
R	digest	digester	まれ
R	diner	din	別語
R	dissolve	dissolver	まれ
R	diversion	diverse	遠縁
R	divorce	divorcee	まれ
R	dock	docker	まれ
R	dock	dockery	非語
R	dome	domer	非語
R	dome	domical	まれ
R	dose	doser	非語
R	dough	dougher	非語
R	dump	dumper	まれ
R	dwarf	dwarfism	まれ
R	effect	effector	まれ
R	elite	elitist	まれ
R	elite	elitism	まれ
R	endorse	endorser	まれ
R	enforce	enforcer	まれ
R	estimate	estimator	まれ
R	ethic	ethicist	まれ
R	evaporate	evaporator	まれ
R	execute	executor	まれ
R	expansion	expansionist	まれ
R	expansion	expansionism	まれ
R	extend	extender	まれ
R	factor	fact	遠縁
R	factor	factory	遠縁
N	exclusion	exclusivity	別意
N	education	educator	人物
N	facilitator	facility	人物
