N	flawed	flawless	反対
N	forgivable	forgiving	別意
U	fort	fortress	fort は「砦」（兵士がいる小さめの拠点）。fortress は「要塞」（大きく堅固な城塞）
N	fort	fortitude	別意
N	fort	fortification	別意
N	fortitude	fortress	別意
N	fortification	fortress	別意
N	friendliness	friendship	別意
fund	funding	名	資金提供・財源
P	fund	動	資金を出す
N	fund	funding	別意
N	gatherer	gathering	人物
N	generation	generator	別意
genetic	geneticist	名	遺伝学者
U	geographic	geographical	geographic と geographical は同じ意味（地理的な・地理学の）。どちらも使う
N	germ	germination	別意
N	grace	graciousness	別意
grind	grinder	名	ひき器・グラインダー（coffee grinder＝コーヒーミル）
U	horrific	horrifying	horrific と horrifying はどちらも「恐ろしい・ぞっとする」。horrific は事故や犯罪などが「凄惨な」ことに多く使う
U	horrific	horrified	horrific は物事が「恐ろしい」。horrified は人が「ぞっとした・恐怖を感じた」
N	humanism	humankind	別意
N	immunity	immunization	別意
U	imposed	imposing	imposed は「課された・押しつけられた」。imposing は「堂々とした・威圧するような」（an imposing building＝堂々とした建物）
N	indication	indicator	別意
industrial	industrialist	名	実業家・企業経営者
inhale	inhaler	名	吸入器
N	inheritance	inheritor	人物
N	initialize	initiate	別意
N	inspection	inspector	人物
institute	institution	名	機関・施設・制度
U	institute	institution	institute は「（研究・教育の）機関・協会」。institution は「（社会の）制度・慣習」や「施設・機関」
U	instructional	instructive	instructive は「ためになる・有益な」。instructional は「教育用の・指導のための」
N	insulation	insulator	別意
U	integration	integrity	integration は「統合・溶け込み」。integrity は「誠実さ・高潔さ」や「完全な状態」
N	intensification	intensity	別意
intrude	intruder	名	侵入者
invade	invader	名	侵略者・侵入者
N	investigation	investigator	人物
N	investment	investor	人物
U	ironic	ironical	ironic と ironical は同じ意味（皮肉な）。ふつうは ironic を使う
juggle	juggler	名	曲芸師・ジャグラー
jury	juror	名	陪審員
N	juror	jury	人物
N	legislation	legislator	人物
U	legislation	legislature	legislation は「立法・法律」。legislature は「議会・立法府」（法律を作る機関）
N	legislator	legislature	人物
N	lengthened	lengthy	別意
U	liberalize	liberate	liberate は「解放する」。liberalize は「自由化する・（規制を）緩める」
liquid	liquidity	名	流動性・換金性
N	liquid	liquidity	別意
loathing	loath	形	気が進まない・いやがって	loathe（ひどく嫌う）と同じ語から、「（〜するのは）気が進まない」（be loath to do）
lobby	lobbyist	名	ロビイスト・圧力団体の運動員
N	lobby	lobbyist	人物
R	feast	feaster	まれ
R	feature	feat	遠縁
R	fin	finer	別語
R	fin	finian	非語
R	fin	finery	別語
R	fin	finance	別語
R	fin	finish	別語
R	fin	finnish	非語
R	flap	flapper	まれ
R	flatter	flat	別語
R	forgive	forge	別語
R	franchise	franchiser	まれ
R	franchise	franchisee	まれ
R	fund	funder	まれ
R	gauge	gauger	まれ
R	gem	gemmer	非語
R	general	generalship	まれ
R	germ	germer	非語
R	gobble	gobbler	まれ
R	graze	grazer	まれ
R	grease	greaser	まれ
R	grid	grider	非語
R	grime	grimness	別語
R	grimy	grim	別語
R	gross	grosser	変化
R	gut	gutter	別語
R	gutter	gut	別語
R	handicap	handicapper	まれ
R	harass	harasser	まれ
R	hatch	hatcher	まれ
R	hatch	hatchery	まれ
R	headline	headliner	まれ
R	hedge	hedger	まれ
R	herb	herber	非語
R	herd	herder	まれ
R	highland	highlander	まれ
R	hinder	hinderer	まれ
R	hostage	host	遠縁
R	hygiene	hygienist	まれ
R	identify	identifier	まれ
R	index	indexer	まれ
R	inflate	inflator	まれ
R	inform	informer	まれ
R	inform	informal	遠縁
R	inhibit	inhibitor	まれ
R	initiate	initiator	まれ
R	install	installer	まれ
R	integrate	integrator	まれ
R	intervene	intervenor	非語
R	irrigate	irrigator	まれ
R	isolation	isolationist	まれ
R	isolation	isolationism	まれ
R	junk	junker	まれ
R	lame	lamer	変化
R	lame	lament	別語
R	lament	lame	別語
R	launch	launcher	まれ
R	liberate	liberator	まれ
R	license	licenser	まれ
R	license	licensor	まれ
R	license	licensee	まれ
R	likeness	like	同音
R	linen	line	遠縁
R	lofty	loftier	変化
R	longing	long	遠縁
R	loop	looper	非語
R	manage	man	別語
N	industrialist	industry	人物
N	gene	geneticist	人物
