traitor	treason	名	反逆・国家反逆罪
N	traitor	treason	人物
N	transformation	transformer	別意
N	usage	usefulness	別意
N	usage	user	人物
N	vaccination	vaccine	別意
N	variable	variation	別意
N	variable	variety	別意
N	visibility	vision	別意
vision	visionary	名	先見的な人・空想家・先見的な
N	vision	visionary	人物
N	visibility	visionary	人物
vocal	vocalist	名	ボーカル・歌手
N	wearable	worn	別意
wrestle	wrestler	名	レスラー・格闘する人
wrestle	wrestling	名	レスリング
accelerate	accelerator	名	アクセル・加速装置	日本語の「アクセル」は英語では accelerator（アメリカ英語では gas pedal とも）と言う
N	acceptability	acceptance	別意
U	acclaim	acclamation	acclaim は「称賛・高い評価」。acclamation は「歓呼・拍手かっさい（で認めること）」
N	accountability	accounting	別意
N	accusation	accused	人物
U	acknowledgement	acknowledgment	acknowledgement と acknowledgment は同じ語のつづりのちがい（アメリカ英語では acknowledgment が多い）
U	acquirement	acquisition	acquisition は「獲得・（企業の）買収」。acquirement は「習得・身につけた技能」（かたい語）
N	adaptability	adaptation	別意
N	adaptability	adapter	別意
N	adaptation	adapter	別意
N	administration	administrator	人物
adverse	adversary	名	敵・対戦相手
N	adversary	adversity	人物
ally	alliance	名	同盟・連携
N	alliance	ally	人物
amplify	amplifier	名	アンプ・増幅器
antique	antiquate	動	時代遅れにする・古くする
N	ascendancy	ascent	別意
U	ascension	ascent	ascent は「上昇・登ること」。ascension は「（王位への）即位・昇天」
N	ascendancy	ascension	別意
R	traitor	trait	別語
R	tranquil	tranquillity	別つづり
R	transit	transition	遠縁
R	tumble	tumbler	まれ
R	twist	twister	まれ
R	upgrade	upgrader	非語
R	vague	vaguer	変化
R	valor	valoree	非語
R	version	verse	遠縁
R	vigilant	vigilantism	まれ
R	vine	viner	非語
R	wage	wager	遠縁
R	warrant	war	別語
R	weave	weaver	まれ
R	web	weber	非語
R	web	webber	非語
R	weird	weirder	変化
R	wig	wigger	非語
R	yacht	yachter	非語
R	abduct	abductor	まれ
R	abduct	abductee	まれ
R	abolition	abolitionist	まれ
R	abolition	abolitionism	まれ
R	abortion	abortionist	まれ
R	absurd	absurdist	まれ
R	accumulate	accumulator	まれ
R	acquaintance	acquaintanceship	まれ
R	adore	adoree	非語
R	advent	adventist	非語
R	advent	adventure	遠縁
R	agitate	agitator	まれ
R	allege	allegory	別語
R	allegory	allege	別語
R	allure	all	別語
R	ambassador	ambassadorship	まれ
R	amble	ambler	まれ
R	appraise	appraiser	まれ
R	appropriate	appropriator	まれ
R	apt	apter	変化
R	arch	archer	遠縁
R	arch	archery	遠縁
R	arch	archive	別語
R	archive	archivist	まれ
R	archive	arch	別語
U	adversarial	adverse	adverse は「不利な・悪い」（adverse effects＝悪影響）。adversarial は「敵対的な・対立する」（相手と争う関係の）
U	apparition	appearance	appearance は「外見・出現」。apparition は「幽霊・（突然現れた）幻影」で、どちらも appear から来た語
U	antiquated	antique	antique は「骨董の・古風な」（価値のある古さ）。antiquated は「時代遅れの・古くさい」（悪い意味）
N	vocalist	voice	人物
N	acceleration	accelerator	別意
