fluid	fluidity	名	流動性・なめらかさ
N	fluid	fluidity	別意
N	forgettable	forgotten	別意
N	fortification	fortitude	別意
N	fruitful	fruitless	反対
N	filler	fullness	別意
fundamental	fundamentalist	名	原理主義者
fundamental	fundamentalism	名	原理主義
N	generalist	generality	人物
N	generalist	generalization	人物
N	governance	governor	人物
N	greenery	greenness	別意
U	grief	grievance	grief は「深い悲しみ」。grievance は「不満・苦情」（不当な扱いへの）
N	heartened	hearty	別意
U	hesitancy	hesitation	hesitation は「ためらい」（1回ごとの、ふつうの語）。hesitancy は「ためらいがちなこと」（性質・傾向）
U	horrible	horrifying	horrible は「ひどい・恐ろしい」（とても嫌な、話し言葉で広く使う）。horrifying は「身の毛もよだつ」（恐怖を与える）
U	iced	icy	iced は「氷で冷やした」（iced tea＝アイスティー）。icy は「凍てつく・氷の張った・冷ややかな」
N	idealism	idealist	人物
N	illustration	illustrator	人物
N	imaginable	imaginative	別意
U	implicate	imply	imply は「ほのめかす・暗に意味する」。implicate は「（犯罪などに）巻き込む・関与を示す」
R	flattery	flat	別語
R	flee	fleer	非語
R	flesh	flesher	非語
R	foe	foor	非語
R	foe	foist	別語
R	foe	foment	別語
R	foe	foible	別語
R	fond	fonder	変化
R	forge	forger	まれ
R	forge	forgive	別語
R	fortify	fortifier	まれ
R	found	founder	同音
R	found	foundation	同音
R	foundation	found	同音
R	frank	frankish	非語
R	fret	fretter	非語
R	gasp	gasper	まれ
R	gaudy	gaudier	変化
R	gland	glander	非語
R	glean	glee	別語
R	glee	glean	別語
R	glossy	glossier	変化
R	glum	glummer	変化
R	gossip	gossiper	まれ
R	grieve	griever	まれ
R	grim	grimmer	変化
R	grim	grimy	別語
R	grin	griner	非語
R	grove	grover	非語
R	gust	guster	非語
R	halt	halter	別語
R	hardy	hardier	変化
R	hardy	hard	遠縁
R	harsh	harsher	変化
R	hatch_2	hatcher	同音
R	hatch_2	hatchery	同音
R	haul	hauler	まれ
R	haven	havener	非語
R	haven	have	別語
R	hinge	hinger	非語
R	hospitality	hospital	遠縁
R	hue	huish	非語
R	humane	humanist	まれ
R	humane	humanness	まれ
R	humble	humbler	変化
R	hurl	hurless	非語
R	idle	idler	まれ
R	illuminate	illuminator	まれ
R	impassable	impasse	遠縁
R	impersonate	impersonator	まれ
R	impression	impressionist	まれ
R	impression	impressionism	まれ
