scam	scammer	名	詐欺師
N	scam	scammer	人物
scant	scanty	形	乏しい・不十分な
U	scant	scanty	scant は「乏しい・わずかな」（scant attention のように名詞の前で使う）。scanty は「乏しい・不十分な」で、服が「露出の多い」の意味もある
U	sensibly	sensitively	sensibly は「分別をもって・賢明に」。sensitively は「繊細に・気を配って」
N	situated	situational	別意
N	skeptic	skepticism	人物
N	solicitation	solicitor	人物
N	solvable	solvent	別意
N	specialist	specialization	人物
N	specialist	specialty	人物
stroll	stroller	名	ベビーカー（主にアメリカ英語）・散歩する人	日本語の「ベビーカー」は英語では stroller（イギリス英語では pushchair）と言う
subordinate	subordination	名	従属・服従・下位に置くこと
N	subordinate	subordination	人物
U	supplemental	supplementary	supplementary と supplemental はどちらも「補足の・追加の」。アメリカ英語では supplemental もよく使う
N	sustainability	sustenance	別意
synthesize	synthesizer	名	シンセサイザー・合成装置
U	temper	temperament	temper は「気分・かんしゃく」（lose one's temper＝かっとなる）。temperament は「気質・気性」（生まれつきの性格）
N	temper	temperance	別意
N	temperament	temperance	別意
U	terrific	terrifying	terrifying は「恐ろしい」。terrific は「すばらしい・ものすごい」で、つづりが似ているが意味が大きくちがう
R	scarce	scarcer	変化
R	scheme	schemer	まれ
R	secrete	secretly	遠縁
R	secular	secularist	まれ
R	secular	secularism	まれ
R	segregation	segregationist	まれ
R	seminar	seminarian	まれ
R	sensational	sensationalist	まれ
R	sensational	sensationalism	まれ
R	sheer	sheerer	変化
R	shove	shover	非語
R	sizzle	sizzler	まれ
R	slick	slicker	まれ
R	sloppy	sloppier	変化
R	snatch	snatcher	まれ
R	sober	sob	別語
R	sole	soler	非語
R	speculate	speculator	まれ
R	spire	spiral	別語
R	stark	starker	変化
R	stark	starkist	非語
R	stern	sterner	変化
R	stern_2	sterner	同音
R	stern_2	sternness	同音
R	stifle	stifler	非語
R	stride	strider	まれ
R	stun	stunner	まれ
R	sturdy	sturdier	変化
R	sue	suess	非語
R	supplant	supple	別語
R	supple	supplee	非語
R	supple	supplement	別語
R	supple	supply	別語
R	supple	supplant	別語
R	supplement	supple	別語
R	suppress	suppressor	まれ
R	surly	sure	別語
R	suspension	suspense	遠縁
R	sympathize	sympathizer	まれ
R	taint	tainter	非語
R	tame	tamer	変化
R	tart	tarter	変化
R	tenant	ten	別語
R	tend_2	tender	別語
N	synthesis	synthesizer	別意
N	simulation	simulator	別意
