denominate	denominator	名	分母（common denominator＝共通点）
N	denomination	denominator	別意
U	disadvantaged	disadvantageous	disadvantageous は「不利な」（状況や条件が）。disadvantaged は「（社会的・経済的に）恵まれない」（人が）
U	discriminating	discriminatory	discriminating は「識別力のある・目の肥えた」（よい意味）。discriminatory は「差別的な」（悪い意味）
N	dispensation	dispenser	別意
U	expedient	expeditious	expedient は「好都合な・便宜的な」（その場しのぎの）。expeditious は「迅速な・手際のよい」
N	fractional	fractious	別意
R	despot	despotism	まれ
R	dupe	duper	非語
R	dupe	dupee	非語
R	egalitarian	egalitarianism	まれ
R	florid	floridian	非語
R	foist	foister	非語
R	gauche	gaucher	非語
R	gawk	gawker	まれ
R	germane	germany	別語
R	gird	girder	まれ
R	glower	glow	別語
R	harrow	harrower	非語
R	heckle	heckler	まれ
R	hew	hewer	まれ
R	impasse	impassable	遠縁
R	laud	lauder	非語
