arms	armor	名	よろい・装甲
R	bear_2	bearish	同音
R	wind_2	winder	まれ
R	wind_2	windish	非語
R	wind_2	windy	同音
R	counter_2	count	別語
R	host_2	hoster	非語
R	host_2	hostess	同音
R	host_2	hostage	同音
R	utter	utterly	同音
R	sound_2	sounder	変化
R	can_2	canner	まれ
R	can_2	cannery	まれ
R	can_2	canal	別語
R	rock_2	rocker	まれ
R	mean_2	meaner	変化
R	mean_2	meanor	非語
R	mean_2	meaning	同音
R	count_2	counter	別語
R	count_2	country	別語
R	count_2	countless	同音
R	bound_3	bounder	まれ
R	bore	borer	まれ
N	alike	likely	別意
N	likeness	likelihood	別意
N	count	county	人物
N	count	countess	男性と女性を言い分ける組で、取り違えにくい
N	countess	county	人物
N	desert	deserter	人物
N	defect	defector	人物
N	bearer	birth	人物
N	foundation	founder	人物
N	armor	arms	別意
N	armament	armor	別意
N	armor	army	別意
